[SpriteLocations]
File=Graphics/SpriteSheet position squares.png
0,0,16,31
17,0,34,31
35,0,52,31
53,0,70,31
71,0,88,31
89,0,106,31
107,0,124,31
125,0,142,31
143,0,160,31
161,0,178,31
179,0,196,31
197,0,214,31
215,0,232,31
233,0,250,31
251,0,268,31
269,0,286,31
287,0,304,31
305,0,322,31
323,0,340,31
341,0,358,31
359,0,376,31
377,0,394,31
395,0,412,31
413,0,430,31
431,0,448,31
449,0,466,31
467,0,484,31
485,0,502,31
503,0,520,31
521,0,538,31
539,0,556,31
557,0,574,31
0,32,16,63
17,32,34,63
35,32,52,63
53,32,70,63
71,32,88,63
89,32,106,63
107,32,124,63
125,32,142,63
143,32,160,63
161,32,178,63
179,32,196,63
197,32,214,63
215,32,232,63
233,32,250,63
251,32,268,63
269,32,286,63
287,32,304,63
305,32,322,63
323,32,340,63
341,32,358,63
359,32,376,63
377,32,394,63
395,32,412,63
413,32,430,63
431,32,448,63
449,32,466,63
467,32,484,63
485,32,502,63
503,32,520,63
521,32,538,63
539,32,556,63
557,32,574,63
0,64,16,95
17,64,34,95
35,64,52,95
53,64,70,95
71,64,88,95
89,64,106,95
107,64,124,95
125,64,142,95
143,64,160,95
161,64,178,95
179,64,196,95
197,64,214,95
215,64,232,95
233,64,250,95
251,64,268,95
269,64,286,95
287,64,304,95
305,64,322,95
323,64,340,95
341,64,358,95
359,64,376,95
377,64,394,95
395,64,412,95
413,64,430,95
431,64,448,95
449,64,466,95
467,64,484,95
485,64,502,95
503,64,520,95
521,64,538,95
539,64,556,95
557,64,574,95
0,96,31,127
